study,stim,target_user,qlabel,targ_agg,s2m,targ_agg2
1,followers,15,trustworthy,3.2,0,3.2
1,followers,16,actimag,3.6666666666666665,0,3.6666666666666665
1,followers,16,age,21.555555555555557,0,21.555555555555557
1,followers,16,agr,3.5,0,3.5
1,followers,16,arrogant,2.6666666666666665,0,2.6666666666666665
1,followers,16,assertive,3.2222222222222223,0,3.2222222222222223
1,followers,16,attractive,3.2222222222222223,0,3.2222222222222223
1,followers,16,centerattn,3.3333333333333335,0,3.3333333333333335
1,followers,16,cold,2.111111111111111,0,2.111111111111111
1,followers,16,cold_r,3.888888888888889,0,3.888888888888889
1,followers,16,con,3.4444444444444446,0,3.4444444444444446
1,followers,16,ext,3.7777777777777777,0,3.7777777777777777
1,followers,16,fewartint,2.7777777777777777,0,2.7777777777777777
1,followers,16,fewartint_r,3.2222222222222223,0,3.2222222222222223
1,followers,16,funny,3.6666666666666665,0,3.6666666666666665
1,followers,16,ilike,3.3333333333333335,0,3.3333333333333335
1,followers,16,impulsive,2.6666666666666665,0,2.6666666666666665
1,followers,16,intelligent,3.3333333333333335,0,3.3333333333333335
1,followers,16,lazy,2.5555555555555554,0,2.5555555555555554
1,followers,16,lazy_r,3.4444444444444446,0,3.4444444444444446
1,followers,16,nervous,2.4444444444444446,0,2.4444444444444446
1,followers,16,neu,2.4444444444444446,0,2.4444444444444446
1,followers,16,ope,3.4444444444444446,0,3.4444444444444446
1,followers,16,outgoing,3.6666666666666665,0,3.6666666666666665
1,followers,16,relaxed,3.5555555555555554,0,3.5555555555555554
1,followers,16,relaxed_r,2.4444444444444446,0,2.4444444444444446
1,followers,16,reserved,2.7777777777777777,0,2.7777777777777777
1,followers,16,reserved_r,3.2222222222222223,0,3.2222222222222223
1,followers,16,selfesteem,3.5555555555555554,0,3.5555555555555554
1,followers,16,ses,5.444444444444445,0,5.444444444444445
1,followers,16,thorough,3.4444444444444446,0,3.4444444444444446
1,followers,16,trusting,3.7777777777777777,0,3.7777777777777777
1,followers,16,trustworthy,3.4444444444444446,0,3.4444444444444446
1,followers,17,actimag,3,0,3
1,followers,17,age,23.5,0,23.5
1,followers,17,agr,3.75,0,3.75
1,followers,17,arrogant,2.7,0,2.7
1,followers,17,assertive,3.4,0,3.4
1,followers,17,attractive,3.2,0,3.2
1,followers,17,centerattn,3.4,0,3.4
1,followers,17,cold,2.4,0,2.4
1,followers,17,cold_r,3.6,0,3.6
1,followers,17,con,3.1,0,3.1
1,followers,17,ext,3.65,0,3.65
1,followers,17,fewartint,3,0,3
1,followers,17,fewartint_r,3,0,3
1,followers,17,funny,3.7,0,3.7
1,followers,17,ilike,3.1,0,3.1
1,followers,17,impulsive,3,0,3
1,followers,17,intelligent,3.1,0,3.1
1,followers,17,lazy,2.7,0,2.7
1,followers,17,lazy_r,3.3,0,3.3
1,followers,17,nervous,2.2,0,2.2
1,followers,17,neu,2.3,0,2.3
1,followers,17,ope,3,0,3
1,followers,17,outgoing,3.7,0,3.7
1,followers,17,relaxed,3.6,0,3.6
1,followers,17,relaxed_r,2.4,0,2.4
1,followers,17,reserved,2.1,0,2.1
1,followers,17,reserved_r,3.9,0,3.9
1,followers,17,selfesteem,3.3,0,3.3
1,followers,17,ses,5.6,0,5.6
1,followers,17,thorough,2.9,0,2.9
1,followers,17,trusting,3.6,0,3.6
1,followers,17,trustworthy,3.3,0,3.3
1,followers,18,actimag,3.6,0,3.6
1,followers,18,age,22.8,0,22.8
1,followers,18,agr,3.45,0,3.45
1,followers,18,arrogant,2.9,0,2.9
1,followers,18,assertive,3,0,3
1,followers,18,attractive,3.3,0,3.3
1,followers,18,centerattn,3.6,0,3.6
1,followers,18,cold,3,0,3
1,followers,18,cold_r,3,0,3
1,followers,18,con,3.05,0,3.05
1,followers,18,ext,3.15,0,3.15
1,followers,18,fewartint,2.4,0,2.4
1,followers,18,fewartint_r,3.6,0,3.6
1,followers,18,funny,3.5,0,3.5
1,followers,18,ilike,2.9,0,2.9
1,followers,18,impulsive,3.2,0,3.2
1,followers,18,intelligent,3.2,0,3.2
1,followers,18,lazy,2.7,0,2.7
1,followers,18,lazy_r,3.3,0,3.3
1,followers,18,nervous,2.8,0,2.8
1,followers,18,neu,2.65,0,2.65
1,followers,18,ope,3.6,0,3.6
1,followers,18,outgoing,3.3,0,3.3
1,followers,18,relaxed,3.5,0,3.5
1,followers,18,relaxed_r,2.5,0,2.5
1,followers,18,reserved,2.3,0,2.3
1,followers,18,reserved_r,3.7,0,3.7
1,followers,18,selfesteem,3.3,0,3.3
1,followers,18,ses,6.4,0,6.4
1,followers,18,thorough,2.8,0,2.8
1,followers,18,trusting,3.2,0,3.2
1,followers,18,trustworthy,3,0,3
1,followers,19,actimag,3.3,0,3.3
1,followers,19,age,25.5,0,25.5
1,followers,19,agr,3.5,0,3.5
1,followers,19,arrogant,2.6,0,2.6
1,followers,19,assertive,3,0,3
1,followers,19,attractive,3.6,0,3.6
1,followers,19,centerattn,3.4,0,3.4
1,followers,19,cold,2.5,0,2.5
1,followers,19,cold_r,3.5,0,3.5
1,followers,19,con,3.25,0,3.25
1,followers,19,ext,3.5,0,3.5
1,followers,19,fewartint,2.8,0,2.8
1,followers,19,fewartint_r,3.2,0,3.2
1,followers,19,funny,3.2,0,3.2
1,followers,19,ilike,3.1,0,3.1
1,followers,19,impulsive,3,0,3
1,followers,19,intelligent,3.3,0,3.3
1,followers,19,lazy,2.7,0,2.7
1,followers,19,lazy_r,3.3,0,3.3
1,followers,19,nervous,2.3,0,2.3
1,followers,19,neu,2.35,0,2.35
1,followers,19,ope,3.25,0,3.25
1,followers,19,outgoing,3.5,0,3.5
1,followers,19,relaxed,3.6,0,3.6
1,followers,19,relaxed_r,2.4,0,2.4
1,followers,19,reserved,2.4,0,2.4
1,followers,19,reserved_r,3.6,0,3.6
1,followers,19,selfesteem,3.5,0,3.5
1,followers,19,ses,5.7,0,5.7
1,followers,19,thorough,3.2,0,3.2
1,followers,19,trusting,3.4,0,3.4
1,followers,19,trustworthy,3.4,0,3.4
1,followers,20,actimag,3.6,0,3.6
1,followers,20,age,23.1,0,23.1
1,followers,20,agr,3.8,0,3.8
1,followers,20,arrogant,2.9,0,2.9
1,followers,20,assertive,3.3,0,3.3
1,followers,20,attractive,4,0,4
1,followers,20,centerattn,3.2,0,3.2
1,followers,20,cold,2,0,2
1,followers,20,cold_r,4,0,4
1,followers,20,con,3.75,0,3.75
1,followers,20,ext,4.1,0,4.1
1,followers,20,fewartint,2.7,0,2.7
1,followers,20,fewartint_r,3.3,0,3.3
1,followers,20,funny,3.8,0,3.8
1,followers,20,ilike,3.4,0,3.4
1,followers,20,impulsive,3.2,0,3.2
